"Enfermedad","Tratamiento"
"Myasthenia gravis","Piridostigmina"
"Chagas","Benznidazol"
"Lung neoplasm","Cisplatino"
"Myocarditis","Amoxicilina"
"Viral pharyngitis","Paracetamol"
"Influenza","Oseltamivir"
"Bronchiectasis","Amoxicilina"
"Chronic rhinosinusitis","Fluticasona nasal"
"Sarcoidosis","Prednisona"
"Exacerbated COPD / Infection","Prednisona"
"Epiglottitis","Amoxicilina"
"HIV (initial infection)","Emtricitabina"
"Bronchitis","Amoxicilina"
"Boerhaave syndrome","CIRUGÍA"
"Acute rhinosinusitis","Fluticasona nasal"
"URTI","Paracetamol"
"PSVT","Adenosina"
"Whooping cough","Eritromicina"
"Acute otitis media","Amoxicilina"
"Ebola","Remdesivir"
"Pneumonia","Amoxicilina"
"NSTEMI / STEMI","CIRUGÍA"
"Panic attack","Alprazolam"
"Tuberculosis","Rifampicina"
"Spontaneous pneumothorax","CIRUGÍA"
"Anemia","Hierro"
"Atrial fibrillation","Warfarina"
"Pancreatic neoplasm","Gemcitabina"
"Inguinal hernia","CIRUGÍA"
"Unstable angina","Nitroglicerina"
"Acute dystonic reactions","Biperideno"
"Scombroid food poisoning","Loratadina"
"Anaphylaxis","Epinefrina"
"Systemic lupus erythematosus","Prednisona"
"Cluster headache","Sumatriptan"
"Pericarditis","Ibuprofeno"
"Bronchiolitis","Epinefrina"
"Acute pulmonary edema","Furosemida"
"Stable angina","Nitroglicerina"
"Guillain-Barré syndrome","Inmunoglobulina IV"
"Croup","Dexametasona"
"Laryngospasm","CIRUGÍA"
"Spontaneous rib fracture","Paracetamol"
"Localized edema","Difenhidramina"
"Exacerbated asthma / bronchospasm","Prednisona"
"Acute laryngitis","Prednisona"
"Pulmonary embolism","Warfarina"
"Gastroesophageal reflux disease","Omeprazol"
"Allergic rhinitis","Fluticasona nasal"
